iter	Passed	Remaining
0	4	457
1	8	434
2	12	408
3	15	383
4	19	379
5	23	367
6	27	366
7	31	365
8	35	361
9	39	356
10	42	347
11	44	329
12	46	313
13	48	300
14	50	288
15	52	277
16	54	267
17	56	258
18	58	248
19	59	239
20	61	230
21	62	222
22	63	214
23	65	206
24	66	199
25	67	192
26	68	186
27	69	179
28	71	173
29	72	168
30	73	163
31	74	158
32	75	153
33	76	148
34	77	143
35	78	138
36	78	134
37	79	130
38	80	126
39	81	122
40	82	118
41	83	114
42	84	111
43	85	108
44	86	105
45	87	102
46	88	99
47	89	96
48	90	94
49	91	91
50	92	88
51	93	86
52	94	83
53	95	80
54	95	78
55	96	75
56	97	73
57	98	71
58	99	68
59	100	66
60	100	64
61	101	62
62	102	60
63	103	58
64	104	56
65	105	54
66	106	52
67	107	50
68	107	48
69	108	46
70	109	44
71	110	42
72	111	41
73	112	39
74	113	37
75	114	36
76	114	34
77	115	32
78	116	31
79	117	29
80	118	27
81	119	26
82	120	24
83	121	23
84	121	21
85	122	19
86	123	18
87	124	16
88	125	15
89	126	14
90	127	12
91	128	11
92	129	9
93	130	8
94	130	6
95	131	5
96	132	4
97	133	2
98	134	1
99	135	0
