iter	RMSE
0	14.63262088
1	14.26672674
2	13.89433187
3	13.5709509
4	13.22420301
5	12.9194909
6	12.62875538
7	12.33143506
8	12.04869361
9	11.77563573
10	11.52119888
11	11.3062798
12	11.0607687
13	10.83552877
14	10.61150786
15	10.39245543
16	10.2016506
17	10.00516377
18	9.815132303
19	9.661018896
20	9.501987429
21	9.344445137
22	9.202431295
23	9.051316855
24	8.909675753
25	8.785393478
26	8.671425643
27	8.554594551
28	8.437557526
29	8.324161843
30	8.231775867
31	8.151294485
32	8.043256789
33	7.941717131
34	7.848993831
35	7.750068395
36	7.67356822
37	7.583521486
38	7.512382703
39	7.445688828
40	7.378276176
41	7.304793093
42	7.241803852
43	7.180100321
44	7.117519387
45	7.061430658
46	7.002500331
47	6.95860492
48	6.924564504
49	6.875204745
50	6.836027819
51	6.793551887
52	6.747932891
53	6.702592559
54	6.662948217
55	6.62366853
56	6.588437056
57	6.556480849
58	6.521940238
59	6.491646085
60	6.458563787
61	6.431748882
62	6.401156016
63	6.379589433
64	6.354495933
65	6.324307181
66	6.296359419
67	6.281027314
68	6.257518499
69	6.23580185
70	6.216504505
71	6.195583392
72	6.178907755
73	6.166842781
74	6.147199988
75	6.134497548
76	6.117439381
77	6.101986879
78	6.085850432
79	6.068200976
80	6.054323084
81	6.040811153
82	6.024967436
83	6.014742947
84	6.004007912
85	5.992428886
86	5.976998108
87	5.967183328
88	5.957758057
89	5.947488014
90	5.93730764
91	5.922342775
92	5.911638014
93	5.904926666
94	5.898168181
95	5.887361745
96	5.876058265
97	5.866216183
98	5.85648793
99	5.844969021
100	5.837045012
101	5.829753048
102	5.822294543
103	5.815908707
104	5.808932561
105	5.804270417
106	5.798153221
107	5.791675835
108	5.785950017
109	5.775311222
110	5.765828479
111	5.760578996
112	5.755273791
113	5.750412922
114	5.745791478
115	5.735576349
116	5.728669684
117	5.724657884
118	5.717687949
119	5.712304637
120	5.706868889
121	5.701027444
122	5.697093482
123	5.692938807
124	5.688205769
125	5.68473348
126	5.681486616
127	5.675871993
128	5.670619885
129	5.665230266
130	5.657744776
131	5.653474109
132	5.647606039
133	5.640635157
134	5.639150893
135	5.630202771
136	5.625706981
137	5.621563433
138	5.615267292
139	5.611091036
140	5.606778468
141	5.602140009
142	5.592527935
143	5.587827513
144	5.584911124
145	5.580028594
146	5.577130014
147	5.574041827
148	5.570761713
149	5.565366915
150	5.561597198
151	5.559865691
152	5.553281468
153	5.551590145
154	5.545922998
155	5.541188969
156	5.534976799
157	5.530708261
