iter	Passed	Remaining
0	150	150740
1	156	78281
2	161	53790
3	165	41135
4	168	33571
5	172	28580
6	176	25009
7	179	22296
8	182	20126
9	186	18464
10	190	17103
11	193	15953
12	197	14957
13	200	14111
14	203	13392
15	207	12737
16	209	12086
17	212	11576
18	215	11140
19	218	10729
20	220	10299
21	224	9966
22	227	9661
23	230	9384
24	234	9140
25	237	8901
26	240	8682
27	244	8473
28	247	8292
29	251	8121
30	254	7952
31	257	7802
32	261	7660
33	264	7529
34	268	7389
35	270	7252
36	273	7121
37	276	7003
38	279	6894
39	282	6780
40	285	6677
41	288	6571
42	291	6479
43	294	6397
44	297	6305
45	299	6219
46	302	6141
47	305	6064
48	308	5992
49	311	5921
50	314	5850
51	317	5787
52	320	5722
53	323	5664
54	326	5604
55	328	5537
56	330	5472
57	333	5411
58	335	5344
59	336	5278
60	339	5220
61	340	5156
62	342	5090
63	343	5026
64	345	4965
65	346	4906
66	348	4847
67	349	4791
68	350	4734
69	352	4680
70	354	4634
71	355	4582
72	356	4530
73	357	4473
74	358	4426
75	360	4379
76	361	4333
77	362	4289
78	364	4247
79	365	4205
80	366	4163
81	368	4126
82	370	4088
83	371	4050
84	372	4013
85	374	3976
86	375	3940
87	376	3903
88	377	3868
89	379	3834
90	380	3800
91	381	3767
92	383	3735
93	384	3710
94	386	3677
95	387	3647
96	388	3619
97	390	3592
98	391	3564
99	393	3538
100	394	3512
101	396	3487
102	397	3461
103	398	3437
104	400	3417
105	402	3396
106	404	3376
107	406	3355
108	408	3335
109	409	3313
110	411	3291
111	412	3270
112	414	3253
113	416	3234
114	417	3212
115	418	3190
116	420	3170
117	420	3145
118	422	3125
119	423	3105
120	424	3086
121	426	3067
122	427	3049
123	429	3030
124	430	3016
125	432	2998
126	433	2980
127	434	2963
128	436	2946
129	437	2929
130	439	2912
131	440	2896
132	441	2879
133	443	2863
134	443	2843
135	445	2830
136	446	2814
137	448	2799
138	449	2784
139	450	2769
140	452	2755
141	453	2740
142	454	2726
143	456	2712
144	457	2698
145	458	2684
146	460	2671
147	461	2659
148	463	2646
149	464	2633
150	466	2620
151	467	2606
152	468	2594
153	469	2579
154	470	2567
155	472	2555
156	473	2543
157	475	2531
158	476	2521
159	477	2509
160	479	2497
161	480	2485
162	481	2473
163	482	2461
164	484	2450
165	485	2439
166	487	2429
167	488	2419
168	489	2408
169	491	2398
170	492	2388
171	493	2377
172	495	2367
173	496	2356
174	497	2346
175	499	2336
176	500	2326
177	501	2316
178	502	2306
179	504	2297
180	505	2287
181	507	2279
182	508	2270
183	509	2260
184	510	2251
185	512	2241
186	513	2233
187	514	2223
188	516	2214
189	517	2205
190	518	2196
191	519	2188
192	521	2179
193	522	2172
194	524	2163
195	525	2155
196	526	2147
197	528	2139
198	529	2131
199	531	2124
200	532	2116
201	533	2108
202	535	2101
203	536	2093
204	538	2087
205	539	2079
206	540	2072
207	542	2064
208	543	2057
209	544	2049
210	546	2041
211	547	2034
212	548	2026
213	549	2019
214	551	2012
215	553	2007
216	554	2001
217	556	1994
218	557	1987
219	558	1980
220	559	1973
221	561	1966
222	562	1959
223	563	1952
224	564	1945
225	565	1938
226	567	1931
227	569	1926
228	570	1920
229	571	1914
230	573	1908
231	574	1902
232	575	1895
233	577	1889
234	578	1883
235	580	1877
236	581	1871
237	582	1865
238	584	1861
239	586	1855
240	587	1849
241	588	1844
242	590	1838
243	591	1833
244	593	1827
245	594	1821
246	595	1816
247	597	1810
248	598	1805
249	600	1801
250	602	1796
251	603	1791
252	605	1786
253	606	1781
254	608	1776
255	609	1771
256	610	1766
257	612	1760
258	613	1755
259	615	1751
260	616	1746
261	618	1741
262	619	1736
263	620	1730
264	622	1725
265	623	1720
266	624	1715
267	626	1710
268	627	1705
269	629	1700
270	630	1697
271	632	1692
272	633	1687
273	634	1682
274	636	1677
275	637	1672
276	638	1667
277	640	1662
278	641	1658
279	642	1653
280	644	1648
281	645	1644
282	647	1639
283	648	1634
284	649	1630
285	651	1625
286	652	1621
287	653	1616
288	655	1611
289	656	1607
290	657	1603
291	659	1598
292	660	1594
293	662	1590
294	663	1585
295	664	1581
296	666	1577
297	667	1572
298	668	1568
299	670	1563
300	671	1559
301	672	1554
302	674	1550
303	675	1546
304	676	1542
305	678	1538
306	679	1533
307	680	1529
308	682	1525
309	683	1520
310	684	1516
311	685	1512
312	686	1507
313	688	1503
314	689	1499
315	690	1495
316	692	1492
317	693	1488
318	695	1484
319	696	1480
320	697	1476
321	699	1472
322	700	1468
323	702	1464
324	703	1461
325	704	1457
326	706	1453
327	708	1450
328	709	1446
329	710	1442
330	711	1438
331	713	1434
332	714	1430
333	715	1426
334	716	1423
335	718	1419
336	719	1415
337	720	1411
338	722	1408
339	723	1404
340	724	1400
341	726	1397
342	727	1393
343	728	1389
344	729	1385
345	731	1382
346	732	1378
347	733	1374
348	735	1371
349	736	1368
350	738	1365
351	740	1362
352	741	1359
353	742	1355
354	744	1352
355	745	1349
356	747	1345
357	748	1342
358	749	1339
359	751	1335
360	752	1332
361	754	1329
362	756	1326
363	757	1323
364	758	1320
365	760	1317
366	761	1314
367	763	1311
368	764	1307
369	766	1304
370	767	1301
371	769	1298
372	770	1295
373	772	1292
374	773	1289
375	775	1286
376	776	1283
377	777	1280
378	779	1277
379	780	1273
380	782	1270
381	783	1267
382	785	1265
383	786	1262
384	788	1259
385	789	1256
386	791	1253
387	792	1249
388	793	1246
389	794	1243
390	796	1240
391	797	1236
392	798	1233
393	800	1230
394	801	1227
395	803	1225
396	804	1222
397	805	1219
398	807	1216
399	808	1213
400	810	1209
401	811	1206
402	812	1203
403	813	1200
404	815	1197
405	816	1194
406	818	1191
407	819	1189
408	820	1186
409	822	1183
410	823	1180
411	825	1177
412	826	1174
413	827	1171
414	829	1168
415	830	1166
416	832	1163
417	833	1160
418	835	1158
419	836	1155
420	838	1152
421	839	1149
422	840	1147
423	842	1144
424	843	1141
425	845	1138
426	846	1136
427	848	1133
428	849	1130
429	850	1127
430	852	1125
431	853	1122
432	854	1119
433	856	1116
434	857	1114
435	859	1111
436	860	1108
437	862	1106
438	863	1103
439	865	1100
440	866	1098
441	867	1095
442	869	1092
443	870	1090
444	871	1087
445	873	1084
446	874	1082
447	876	1079
448	878	1077
449	879	1075
450	881	1072
451	882	1069
452	883	1067
453	885	1064
454	886	1062
455	888	1059
456	889	1057
457	891	1054
458	893	1052
459	894	1050
460	896	1047
461	897	1045
462	898	1042
463	900	1039
464	901	1037
465	902	1034
466	904	1032
467	905	1029
468	907	1026
469	908	1024
470	910	1022
471	911	1019
472	913	1017
473	914	1015
474	916	1012
475	917	1010
476	918	1007
477	920	1004
478	921	1002
479	922	999
480	924	997
481	925	994
482	927	992
483	928	989
484	929	987
485	931	985
486	932	982
487	934	980
488	935	977
489	936	975
490	938	972
491	940	970
492	941	968
493	942	965
494	944	963
495	945	960
496	946	958
497	947	955
498	949	953
499	950	950
500	951	948
501	953	945
502	955	943
503	956	941
504	958	939
505	959	936
506	960	934
507	962	931
508	963	929
509	965	927
510	966	924
511	967	922
512	969	920
513	971	918
514	972	915
515	974	913
516	975	911
517	976	909
518	978	906
519	979	904
520	980	901
521	981	899
522	983	896
523	984	894
524	986	892
525	987	889
526	988	887
527	989	884
528	991	882
529	992	880
530	993	877
531	995	875
532	996	873
533	997	870
534	998	868
535	1000	865
536	1001	863
537	1003	861
538	1004	859
539	1005	856
540	1007	854
541	1008	852
542	1009	850
543	1011	847
544	1012	845
545	1014	843
546	1016	841
547	1017	839
548	1019	837
549	1020	834
550	1021	832
551	1023	830
552	1024	828
553	1025	825
554	1027	823
555	1028	821
556	1030	819
557	1031	817
558	1033	815
559	1034	813
560	1036	810
561	1037	808
562	1039	806
563	1040	804
564	1042	802
565	1044	800
566	1046	798
567	1049	798
568	1051	796
569	1053	794
570	1054	792
571	1056	790
572	1057	788
573	1059	786
574	1060	783
575	1062	781
576	1065	780
577	1066	778
578	1068	776
579	1069	774
580	1071	772
581	1072	770
582	1074	768
583	1076	766
584	1079	765
585	1081	763
586	1082	761
587	1084	760
588	1086	758
589	1087	755
590	1088	753
591	1090	751
592	1091	748
593	1092	746
594	1095	745
595	1097	744
596	1098	741
597	1100	739
598	1101	737
599	1102	735
600	1104	733
601	1105	731
602	1107	729
603	1109	727
604	1112	726
605	1113	723
606	1114	721
607	1116	719
608	1117	717
609	1118	715
610	1120	713
611	1121	711
612	1123	709
613	1125	707
614	1127	705
615	1129	703
616	1131	702
617	1133	700
618	1134	698
619	1136	696
620	1137	694
621	1139	692
622	1140	690
623	1141	688
624	1143	686
625	1144	683
626	1146	681
627	1147	679
628	1148	677
629	1150	675
630	1151	673
631	1152	671
632	1154	669
633	1155	667
634	1156	665
635	1158	662
636	1159	660
637	1161	658
638	1162	656
639	1164	654
640	1165	652
641	1166	650
642	1168	648
643	1170	646
644	1171	644
645	1173	642
646	1174	640
647	1175	638
648	1177	636
649	1178	634
650	1180	632
651	1181	630
652	1182	628
653	1184	626
654	1186	624
655	1187	622
656	1188	620
657	1190	618
658	1191	616
659	1193	614
660	1194	612
661	1195	610
662	1197	608
663	1198	606
664	1200	604
665	1202	602
666	1203	600
667	1204	598
668	1206	596
669	1207	594
670	1209	592
671	1210	590
672	1211	588
673	1213	586
674	1214	584
675	1216	583
676	1217	581
677	1219	578
678	1220	576
679	1221	574
680	1222	572
681	1224	570
682	1225	568
683	1226	566
684	1228	564
685	1229	562
686	1231	561
687	1232	559
688	1234	557
689	1235	555
690	1236	553
691	1238	551
692	1239	548
693	1240	546
694	1241	544
695	1242	542
696	1244	540
697	1245	538
698	1247	537
699	1248	535
700	1249	533
701	1250	531
702	1252	529
703	1253	527
704	1254	525
705	1256	523
706	1257	521
707	1258	519
708	1259	517
709	1261	515
710	1262	513
711	1264	511
712	1265	509
713	1266	507
714	1267	505
715	1269	503
716	1270	501
717	1271	499
718	1272	497
719	1274	495
720	1275	493
721	1276	491
722	1278	489
723	1279	487
724	1280	485
725	1282	483
726	1283	481
727	1284	479
728	1285	477
729	1287	476
730	1288	474
731	1289	472
732	1290	470
733	1292	468
734	1294	466
735	1295	464
736	1296	462
737	1298	460
738	1299	458
739	1300	457
740	1302	455
741	1303	453
742	1304	451
743	1305	449
744	1307	447
745	1309	445
746	1310	443
747	1311	442
748	1313	440
749	1314	438
750	1316	436
751	1317	434
752	1318	432
753	1320	430
754	1321	428
755	1323	427
756	1324	425
757	1325	423
758	1326	421
759	1328	419
760	1329	417
761	1330	415
762	1331	413
763	1333	411
764	1334	409
765	1335	408
766	1337	406
767	1338	404
768	1340	402
769	1341	400
770	1342	398
771	1343	396
772	1345	395
773	1346	393
774	1347	391
775	1348	389
776	1350	387
777	1351	385
778	1352	383
779	1354	381
780	1355	380
781	1356	378
782	1358	376
783	1359	374
784	1360	372
785	1361	370
786	1362	368
787	1364	367
788	1365	365
789	1366	363
790	1367	361
791	1369	359
792	1370	357
793	1372	355
794	1373	354
795	1374	352
796	1375	350
797	1377	348
798	1378	346
799	1379	344
800	1381	343
801	1382	341
802	1383	339
803	1385	337
804	1386	335
805	1387	334
806	1389	332
807	1390	330
808	1391	328
809	1392	326
810	1394	324
811	1395	323
812	1396	321
813	1397	319
814	1399	317
815	1400	315
816	1402	314
817	1403	312
818	1404	310
819	1406	308
820	1407	306
821	1408	305
822	1409	303
823	1411	301
824	1412	299
825	1413	297
826	1414	295
827	1416	294
828	1417	292
829	1419	290
830	1420	288
831	1421	287
832	1422	285
833	1424	283
834	1425	281
835	1426	279
836	1427	278
837	1429	276
838	1430	274
839	1432	272
840	1433	270
841	1434	269
842	1435	267
843	1437	265
844	1438	263
845	1439	262
846	1440	260
847	1442	258
848	1443	256
849	1444	254
850	1446	253
851	1447	251
852	1449	249
853	1450	247
854	1451	246
855	1453	244
856	1454	242
857	1455	240
858	1456	239
859	1458	237
860	1459	235
861	1460	233
862	1462	232
863	1463	230
864	1464	228
865	1466	226
866	1467	225
867	1468	223
868	1469	221
869	1471	219
870	1472	218
871	1474	216
872	1476	214
873	1477	213
874	1479	211
875	1480	209
876	1482	207
877	1483	206
878	1485	204
879	1486	202
880	1488	200
881	1489	199
882	1490	197
883	1492	195
884	1493	194
885	1494	192
886	1496	190
887	1497	188
888	1498	187
889	1499	185
890	1501	183
891	1502	181
892	1503	180
893	1504	178
894	1506	176
895	1507	174
896	1508	173
897	1510	171
898	1511	169
899	1512	168
900	1513	166
901	1515	164
902	1516	162
903	1517	161
904	1518	159
905	1520	157
906	1521	156
907	1522	154
908	1524	152
909	1525	150
910	1526	149
911	1528	147
912	1529	145
913	1530	144
914	1531	142
915	1533	140
916	1534	138
917	1535	137
918	1537	135
919	1538	133
920	1539	132
921	1541	130
922	1542	128
923	1543	126
924	1544	125
925	1546	123
926	1547	121
927	1548	120
928	1549	118
929	1551	116
930	1552	115
931	1554	113
932	1555	111
933	1556	109
934	1557	108
935	1559	106
936	1560	104
937	1561	103
938	1562	101
939	1564	99
940	1565	98
941	1566	96
942	1567	94
943	1569	93
944	1571	91
945	1572	89
946	1573	88
947	1574	86
948	1576	84
949	1577	83
950	1578	81
951	1579	79
952	1580	77
953	1582	76
954	1583	74
955	1585	72
956	1586	71
957	1588	69
958	1589	67
959	1590	66
960	1591	64
961	1592	62
962	1594	61
963	1595	59
964	1596	57
965	1597	56
966	1599	54
967	1600	52
968	1602	51
969	1603	49
970	1604	47
971	1605	46
972	1606	44
973	1608	42
974	1609	41
975	1610	39
976	1612	37
977	1613	36
978	1614	34
979	1616	32
980	1618	31
981	1619	29
982	1621	28
983	1622	26
984	1624	24
985	1625	23
986	1626	21
987	1628	19
988	1629	18
989	1631	16
990	1632	14
991	1633	13
992	1635	11
993	1636	9
994	1637	8
995	1639	6
996	1640	4
997	1641	3
998	1642	1
999	1644	0
